%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
2022 181 1 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 97 10.6 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 160
2022 181 2 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 99 10.5 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 250
2022 181 3 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 99 10.8 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2022 181 4 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.6 99 10.8 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 239
2022 181 5 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 99 10.8 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
2022 181 6 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 11.1 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2022 181 7 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 11.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 191
2022 181 8 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 11.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 189
2022 181 9 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 10.9 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2022 181 10 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.6 100 11.0 -999.0 -999.0 12 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 12 0 181
2022 181 11 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 100 11.2 -999.0 -999.0 45 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 45 0 250
2022 181 12 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 11.3 -999.0 -999.0 75 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 75 0 260
2022 181 13 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.6 100 11.3 -999.0 -999.0 93 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 93 0 107
2022 181 14 60 -999.0 -999.0 -999.0 -999.0 -999.0 5.1 100 11.3 -999.0 -999.0 95 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 95 0 270
2022 181 15 60 -999.0 -999.0 -999.0 -999.0 -999.0 5.1 97 11.1 -999.0 -999.0 81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 81 0 148
