%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1997 157 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.0 72 20.3 -999.0 -999.0 332 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 342
1997 157 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.2 72 19.7 -999.0 -999.0 310 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 350
1997 157 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.4 72 19.0 -999.0 -999.0 287 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 267
1997 157 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.6 72 18.4 -999.0 -999.0 265 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 192
1997 157 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.8 72 17.7 -999.0 -999.0 243 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 112
1997 157 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.0 72 17.1 -999.0 -999.0 220 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 8 0 37
1997 157 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.1 72 16.5 -999.0 -999.0 198 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 110 0 30
1997 157 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.3 72 15.8 -999.0 -999.0 176 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 176 0 40
1997 157 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.3 64 16.7 -999.0 -999.0 290 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 282 15 60
1997 157 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 59 16.8 -999.0 -999.0 432 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 403 40 260
1997 157 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 64 17.6 -999.0 -999.0 520 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 56 260
1997 157 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 69 17.4 -999.0 -999.0 614 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 53 260
1997 157 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 73 17.3 -999.0 -999.0 641 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 157 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 67 17.8 -999.0 -999.0 632 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 260
1997 157 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 62 18.2 -999.0 -999.0 550 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 260
1997 157 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.6 56 18.5 -999.0 -999.0 468 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 157 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 62 18.3 -999.0 -999.0 320 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 320 0 270
1997 157 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.8 69 17.2 -999.0 -999.0 206 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 206 0 270
1997 157 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.5 74 16.9 -999.0 -999.0 120 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 120 0 250
1997 157 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.5 73 16.5 -999.0 -999.0 11 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 11 0 250
1997 157 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.5 71 16.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 250
1997 157 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.5 69 15.9 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 250
1997 157 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.1 74 16.3 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 250
1997 157 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.8 81 15.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 230
