%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
2017 181 1 60 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 99 9.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
2017 181 2 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 99 9.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
2017 181 3 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 99 9.7 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2017 181 4 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 99 9.2 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 260
2017 181 5 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 100 10.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
2017 181 6 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 99 10.6 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 290
2017 181 7 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 100 9.3 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2017 181 8 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 9.7 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2017 181 9 60 -999.0 -999.0 -999.0 -999.0 -999.0 1.0 100 9.8 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
2017 181 10 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 9.8 -999.0 -999.0 12 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 12 0 270
2017 181 11 60 -999.0 -999.0 -999.0 -999.0 -999.0 3.6 100 11.0 -999.0 -999.0 46 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 46 0 250
2017 181 12 60 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 100 9.6 -999.0 -999.0 75 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 75 0 270
