%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1997 157 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 62 20.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 40
1997 157 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 1.5 62 19.9 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 60
1997 157 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 1.5 64 19.1 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 50
1997 157 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 1.5 65 18.7 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 40
1997 157 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 1.5 72 17.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 20
1997 157 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.6 70 18.3 -999.0 -999.0 10 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 10 0 40
1997 157 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 58 21.0 -999.0 -999.0 95 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 72 113 60
1997 157 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.6 51 23.8 -999.0 -999.0 254 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 130 340 80
1997 157 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.6 43 26.5 -999.0 -999.0 438 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 129 590 80
1997 157 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 38 28.6 -999.0 -999.0 613 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 142 707 80
1997 157 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.1 34 30.3 -999.0 -999.0 760 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 155 771 80
1997 157 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.6 31 31.9 -999.0 -999.0 865 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 156 816 80
1997 157 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 29 33.0 -999.0 -999.0 920 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 163 830 110
1997 157 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.6 26 34.3 -999.0 -999.0 923 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 162 833 90
1997 157 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.6 26 34.9 -999.0 -999.0 870 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 157 818 100
1997 157 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 25 35.5 -999.0 -999.0 769 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 157 773 130
1997 157 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.6 23 36.0 -999.0 -999.0 625 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 144 713 150
1997 157 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 22 36.0 -999.0 -999.0 451 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 147 570 110
1997 157 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 30 32.9 -999.0 -999.0 267 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 132 362 110
1997 157 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.3 36 31.2 -999.0 -999.0 104 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 77 129 100
1997 157 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.5 41 29.5 -999.0 -999.0 13 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 13 0 102
1997 157 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.2 51 25.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 117
1997 157 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.0 60 22.0 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 122
1997 157 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 1.5 71 18.4 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 127
