%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1997 157 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.2 79 20.3 -999.0 -999.0 117 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 310
1997 157 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.6 80 20.6 -999.0 -999.0 109 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 295
1997 157 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.0 80 20.9 -999.0 -999.0 100 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 277
1997 157 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.3 80 21.2 -999.0 -999.0 92 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 257
1997 157 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.7 81 21.5 -999.0 -999.0 83 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 230
1997 157 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.1 81 21.8 -999.0 -999.0 74 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 230
1997 157 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.5 82 22.1 -999.0 -999.0 66 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 230
1997 157 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 1.8 82 22.4 -999.0 -999.0 57 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 57 0 200
1997 157 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.1 80 22.4 -999.0 -999.0 130 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 130 0 250
1997 157 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.2 79 22.8 -999.0 -999.0 222 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 222 0 310
1997 157 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.2 77 22.9 -999.0 -999.0 316 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 316 0 290
1997 157 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.2 75 23.4 -999.0 -999.0 405 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 405 0 290
1997 157 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.0 73 24.3 -999.0 -999.0 477 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 157 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.3 70 24.6 -999.0 -999.0 502 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 157 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.3 69 24.8 -999.0 -999.0 501 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 157 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.1 69 24.5 -999.0 -999.0 467 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 420 0 270
1997 157 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.3 73 24.2 -999.0 -999.0 371 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 371 0 270
1997 157 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.3 74 23.7 -999.0 -999.0 222 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 222 0 280
1997 157 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.3 76 23.4 -999.0 -999.0 59 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 59 0 290
1997 157 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.8 82 22.8 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
1997 157 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 4.3 85 22.2 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 270
1997 157 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.8 89 21.5 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 280
1997 157 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.2 89 20.9 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 300
1997 157 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 3.2 89 20.9 -999.0 -999.0 0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 290
