%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1997 157 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 62 19.0 -999.0 -999.0 337 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 342
1997 157 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.2 65 18.8 -999.0 -999.0 332 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 350
1997 157 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.1 69 18.6 -999.0 -999.0 326 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 267
1997 157 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.0 72 18.3 -999.0 -999.0 320 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 192
1997 157 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.8 75 18.1 -999.0 -999.0 315 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 0 112
1997 157 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.7 78 17.8 -999.0 -999.0 309 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 17 0 37
1997 157 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.5 81 17.6 -999.0 -999.0 303 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 547 30
1997 157 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.4 84 17.4 -999.0 -999.0 298 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 745 40
1997 157 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.6 80 19.0 -999.0 -999.0 494 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 0 850 60
1997 157 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.4 73 21.7 -999.0 -999.0 671 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 18 907 260
1997 157 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 5.9 68 22.9 -999.0 -999.0 817 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 38 946 260
1997 157 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.4 62 23.2 -999.0 -999.0 900 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 37 970 260
1997 157 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 7.2 60 25.0 -999.0 -999.0 923 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 35 973 270
1997 157 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 7.2 59 25.9 -999.0 -999.0 903 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 40 965 260
1997 157 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 56 26.9 -999.0 -999.0 825 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 40 945 260
1997 157 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 56 27.2 -999.0 -999.0 692 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 29 907 270
1997 157 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 56 28.0 -999.0 -999.0 530 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 26 840 270
1997 157 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 58 28.0 -999.0 -999.0 343 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 18 728 270
1997 157 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.9 63 26.8 -999.0 -999.0 189 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 46 510 250
1997 157 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 6.3 67 25.0 -999.0 -999.0 77 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 77 0 250
