%iy id it imin Q* QH QE Qs Qf Wind RH Td press rain Kdn snow ldown fcld wuh xsmd lai_hr Kdiff Kdir Wd
1997 157 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.0 83.00 7.50 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1997 157 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.3 83.00 7.50 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1997 157 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.2 82.00 6.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
1997 157 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.8 85.00 6.40 -999.00 -999.00 1.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 1.10 0.00 -999.00
1997 157 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.2 85.00 5.80 -999.00 -999.00 11.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 11.20 40.36 -999.00
1997 157 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.0 85.00 8.10 -999.00 -999.00 72.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 31.90 343.94 -999.00
1997 157 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.6 80.00 11.60 -999.00 -999.00 177.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 38.10 583.06 -999.00
1997 157 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.2 66.00 16.30 -999.00 -999.00 317.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 51.10 680.50 -999.00
1997 157 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.3 57.00 19.10 -999.00 -999.00 453.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.50 786.59 -999.00
1997 157 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.0 43.00 20.70 -999.00 -999.00 582.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 75.30 834.90 -999.00
1997 157 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.5 41.00 21.80 -999.00 -999.00 692.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 80.20 871.06 -999.00
1997 157 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.1 35.00 22.40 -999.00 -999.00 773.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 82.80 894.23 -999.00
1997 157 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.0 37.00 22.90 -999.00 -999.00 809.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.50 883.78 -999.00
1997 157 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.7 35.00 23.20 -999.00 -999.00 821.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.10 878.06 -999.00
1997 157 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.4 34.00 23.50 -999.00 -999.00 791.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99.40 876.56 -999.00
1997 157 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.8 29.00 23.50 -999.00 -999.00 724.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.10 865.40 -999.00
1997 157 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.0 37.00 22.50 -999.00 -999.00 621.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.00 834.38 -999.00
1997 157 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.0 40.00 22.30 -999.00 -999.00 497.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 77.00 783.07 -999.00
1997 157 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.0 43.00 21.80 -999.00 -999.00 361.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 69.00 706.92 -999.00
1997 157 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.0 47.00 21.40 -999.00 -999.00 228.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 58.80 593.13 -999.00
1997 157 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.3 52.00 20.10 -999.00 -999.00 113.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 43.40 434.11 -999.00
1997 157 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.8 55.00 17.70 -999.00 -999.00 30.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 22.30 155.10 -999.00
1997 157 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.6 69.00 14.10 -999.00 -999.00 2.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 2.00 0.00 -999.00
1997 157 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.7 75.00 12.00 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
