,Td,RH,Wind,%iy,id,it,tmr,shadows,tmr-path,shadows-path,utci,area_shdows,si/shab
0,18.6,69,1.9,1997,157,0900,Tmrt_1997_157_0900,Shadow_1997_157_0900,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_0900D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_0900D.tif,21.685034392069593,29658.0,0.15329919162620625
1,19.5,61,2.5,1997,157,1000,Tmrt_1997_157_1000,Shadow_1997_157_1000,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1000D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1000D.tif,21.28393775075226,19940.0,0.10306783603164586
2,20.4,58,3.1,1997,157,1100,Tmrt_1997_157_1100,Shadow_1997_157_1100,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1100D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1100D.tif,21.28474221825339,13718.0,0.07090694958285446
3,21.4,55,3.6,1997,157,1200,Tmrt_1997_157_1200,Shadow_1997_157_1200,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1200D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1200D.tif,21.647309248817752,10996.0,0.05683720787382035
4,22.1,53,4.7,1997,157,1300,Tmrt_1997_157_1300,Shadow_1997_157_1300,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1300D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1300D.tif,18.619711983531474,10262.0,0.053043236376968395
5,22.3,53,5.8,1997,157,1400,Tmrt_1997_157_1400,Shadow_1997_157_1400,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1400D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1400D.tif,17.48046514201047,12992.0,0.06715432927397909
6,22.5,53,6.8,1997,157,1500,Tmrt_1997_157_1500,Shadow_1997_157_1500,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1500D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1500D.tif,16.435238109608886,20710.0,0.10704788787439246
7,22.7,54,7.1,1997,157,1600,Tmrt_1997_157_1600,Shadow_1997_157_1600,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1600D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1600D.tif,16.029227280818148,30899.0,0.1597137946610745
8,22.4,56,7.9,1997,157,1700,Tmrt_1997_157_1700,Shadow_1997_157_1700,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1700D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1700D.tif,14.489366299569557,43676.0,0.22575681075818277
9,22.2,60,8.2,1997,157,1800,Tmrt_1997_157_1800,Shadow_1997_157_1800,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Tmrt_1997_157_1800D.tif,C:\Users\simon\python-scripts\exemple-umep\OUTPUT\Shadow_1997_157_1800D.tif,13.844183505656988,65671.0,0.3394467332013147
